"","BLOCK_ID","GROUP_NUM","INT_LAT","INT_LON"
"56","130630404141002",107,33.5891129,-84.3704788
"57","130630404132027",69,33.5721344,-84.2834107
"58","130630403081013",0,33.6410594,-84.3902133
"59","130630403081019",0,33.6422302,-84.3974948
"60","130630403023006",0,33.6326621,-84.3868159
"61","130630403081031",0,33.6409234,-84.3911578
"62","130630406132007",213,33.5216123,-84.3284318
"63","130630406141000",31,33.539645,-84.2959885
"64","130630406122017",54,33.5280201,-84.3674954
"65","130630406121032",9,33.5239464,-84.359219
"66","130630406091036",6,33.5247935,-84.3525852
"67","130630402022014",82,33.6127916,-84.4342431
"68","130630402031006",24,33.5944025,-84.4549907
"69","130639800001076",0,33.6386904,-84.4044815
"70","130630402021046",0,33.6190722,-84.425145
"71","130630403071006",51,33.5982959,-84.3680546
"72","130630403072014",34,33.5940818,-84.3633967
"73","130630403072034",4,33.5902316,-84.3629153
"74","130630403072005",90,33.6011569,-84.3568445
"75","130630403072002",64,33.5970134,-84.3587214
"76","130630403072006",23,33.5981379,-84.354288
"77","130630403081040",0,33.638398,-84.3933842
"78","130630404112035",88,33.5753096,-84.2655455
"79","130630404112034",28,33.5773259,-84.2640546
"80","130630403081092",16,33.6216747,-84.3738353
"81","130630403021006",0,33.6473163,-84.3762752
"82","130630404101022",0,33.6359414,-84.308944
"83","130630406132023",0,33.5194177,-84.3459033
"84","130630406162010",82,33.5616091,-84.2912529
"85","130630406142040",84,33.5085903,-84.3122191
"86","130630406142002",0,33.522805,-84.293871
"87","130630406142010",37,33.521089,-84.3113508
"88","130630406123016",20,33.5133224,-84.3582089
"89","130630406123009",19,33.5183916,-84.3583186
"90","130630406123011",0,33.5195967,-84.3553457
"91","130630406123014",40,33.5162106,-84.3551739
"92","130630402022007",0,33.610264,-84.4274085
"93","130630402021022",0,33.6267111,-84.4186683
"94","130630402043019",0,33.6043475,-84.446096
"95","130630402043022",26,33.6051894,-84.445373
"96","130630402043025",1,33.6043901,-84.4453229
"97","130630403031000",10,33.6355885,-84.3445651
"98","130630403031004",2,33.6329946,-84.3466776
"99","130630403031009",44,33.6293214,-84.3447789
"100","130630404081002",0,33.5988043,-84.3414281
"101","130630404101015",0,33.6319504,-84.3158648
"102","130630403081009",0,33.6411223,-84.3826795
"103","130630403081052",0,33.6364447,-84.3858216
"104","130630403081032",0,33.6332216,-84.3920627
"105","130630406091016",0,33.5386734,-84.3480549
"106","130630406081071",0,33.4169819,-84.3643495
"107","130630406131025",0,33.5089578,-84.3489437
"108","130630406131024",24,33.5116496,-84.3495077
"109","130630406133017",16,33.5088364,-84.3230638
"110","130630406131005",21,33.508315,-84.333281
"111","130630402043003",7,33.6040182,-84.4442875
"112","130630402032029",46,33.59542,-84.4502229
"113","130630402032031",51,33.5954794,-84.4510527
"114","130630404132018",32,33.5626673,-84.2759791
"115","130630404083024",14,33.5859532,-84.3300364
"116","130630404101084",32,33.6366989,-84.3361863
"117","130630404101085",65,33.6362088,-84.3351839
"118","130630404082006",58,33.5920555,-84.3226667
"119","130630403081133",0,33.6260085,-84.395223
"120","130630403032011",15,33.639589,-84.3584852
"121","130630404151012",302,33.5581401,-84.375611
"122","130630404172008",36,33.5571422,-84.3693943
"123","130630404102012",0,33.6255459,-84.3180217
"124","130630404102063",0,33.6164526,-84.3320646
"125","130630406112012",82,33.5404555,-84.3487311
"126","130630406131016",45,33.5139053,-84.349527
"127","130630406222024",46,33.4651424,-84.3701484
"128","130630406222009",42,33.4642624,-84.3688283
"129","130630406062027",5,33.4339041,-84.3139453
"130","130630406142039",312,33.5080165,-84.3044895
"131","130630406163003",7,33.5671745,-84.3059917
